DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6020;P6040;DPTO;AREA;FEX_C
3765;1;4;1;10;2;8;95;95;69,0936121256411
3765;1;5;1;10;2;7;95;95;69,0936121256411
3765;1;6;1;10;1;8;95;95;69,0936121256411
3767;1;1;1;10;2;56;95;95;15,7249939384768
3767;1;2;1;10;1;15;95;95;15,7249939384768
3788;1;1;1;10;2;37;99;99;4,04514793410738
3788;1;2;1;10;1;29;99;99;4,04514793410738
3788;1;3;1;10;2;4;99;99;4,04514793410738
3788;1;4;1;10;1;3;99;99;4,04514793410738
3793;1;1;1;10;1;35;97;97;1,58966084554411
3801;1;1;1;10;1;0;97;97;6,35864338217645
3832;1;1;1;10;2;34;95;95;9,07633656905711
3832;1;2;1;10;1;21;95;95;9,07633656905711
3849;1;1;1;10;1;55;85;85;30,8067572087494
3870;1;1;1;10;1;66;95;95;7,94179449720012
3870;1;2;1;10;2;61;95;95;7,94179449720012
3870;1;3;1;10;2;28;95;95;7,94179449720012
3870;1;4;1;10;1;13;95;95;7,94179449720012
3870;1;5;1;10;1;9;95;95;7,94179449720012
4204;1;1;1;10;1;77;95;95;19,6448114078263
4248;1;1;1;10;1;65;95;95;9,02030980186626
4248;1;2;1;10;2;64;95;95;9,02030980186626
4289;1;1;1;10;1;45;95;95;9,02030980186626
4289;1;2;1;10;2;45;95;95;9,02030980186626
4289;1;3;1;10;2;18;95;95;9,02030980186626
4323;1;1;1;10;1;49;95;95;9,02030980186626
4323;1;2;1;10;2;49;95;95;9,02030980186626
4323;1;3;1;10;1;23;95;95;9,02030980186626
4323;1;4;1;10;1;21;95;95;9,02030980186626
4323;1;5;1;10;1;29;95;95;9,02030980186626
4377;1;1;1;10;1;37;95;95;9,07633656905711
4377;1;2;1;10;2;33;95;95;9,07633656905711
4377;1;3;1;10;1;14;95;95;9,07633656905711
4377;1;4;1;10;1;12;95;95;9,07633656905711
4377;1;5;1;10;1;17;95;95;9,07633656905711
4377;1;6;1;10;2;17;95;95;9,07633656905711
4377;1;7;1;10;1;0;95;95;9,07633656905711
4407;1;1;1;10;1;40;95;95;9,02030980186626
4407;1;2;1;10;2;34;95;95;9,02030980186626
4407;1;3;1;10;1;12;95;95;9,02030980186626
4407;1;4;1;10;1;12;95;95;9,02030980186626
4423;1;1;1;10;1;48;95;95;9,02030980186626
4423;1;2;1;10;2;49;95;95;9,02030980186626
4423;1;3;1;10;2;21;95;95;9,02030980186626
4423;1;4;1;10;1;13;95;95;9,02030980186626
4423;1;5;1;10;1;12;95;95;9,02030980186626
4581;1;1;1;10;2;60;97;97;5,00421913742434
4595;1;1;1;10;2;38;97;97;1,58966084554411
4601;1;1;1;10;2;40;85;85;26,7379808214113
4601;1;2;1;10;1;43;85;85;26,7379808214113
4601;1;3;1;10;1;5;85;85;26,7379808214113
4605;1;1;1;10;1;29;97;97;2,47280575973529
4605;1;2;1;10;2;28;97;97;2,47280575973529
4605;1;3;1;10;2;5;97;97;2,47280575973529
4616;1;1;1;10;1;39;85;85;31,4332084720698
4616;1;2;1;10;2;24;85;85;31,4332084720698
4637;1;1;1;10;2;64;97;97;2,74533155905619
4637;1;2;1;10;1;69;97;97;2,74533155905619
4637;1;3;1;10;1;24;97;97;2,74533155905619
4668;1;1;1;10;2;37;85;85;22,526103778363
4668;1;2;1;10;2;16;85;85;22,526103778363
4668;1;3;1;10;2;14;85;85;22,526103778363
4673;1;1;1;10;1;51;97;97;1,58966084554411
4673;1;2;1;10;2;50;97;97;1,58966084554411
4673;1;3;1;10;1;13;97;97;1,58966084554411
4675;1;1;1;10;1;54;85;85;30,3465338969402
4685;1;1;1;10;1;0;97;97;6,35864338217645
4707;1;1;1;10;2;33;91;91;6,49287262757142
4707;1;2;1;10;2;15;91;91;6,49287262757142
4707;1;3;1;10;1;2;91;91;6,49287262757142
4720;1;1;1;10;1;0;91;91;7,08901768196019
4720;1;2;1;10;2;55;91;91;7,08901768196019
4720;1;3;1;10;1;0;91;91;7,08901768196019
4720;1;4;1;10;1;21;91;91;7,08901768196019
4722;1;1;1;10;2;28;94;94;4,08739279676759
4722;1;2;1;10;1;6;94;94;4,08739279676759
4722;1;3;1;10;1;1;94;94;4,08739279676759
4724;1;1;1;10;2;48;91;91;5,96749550426411
4725;1;1;1;10;1;43;85;85;36,9151451415398
