DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;AREA;DSI;FEX_C
22157;1;1;1;70;86;86;1;6,66639045062157
22157;1;2;1;70;86;86;1;6,66639045062157
22565;1;1;1;70;99;99;1;7,58198009427809
22663;1;1;1;70;94;94;1;3,41480494820259
22774;1;2;1;70;94;94;1;2,0750953695052
22957;1;2;1;70;81;81;1;7,59043141597366
22957;1;3;1;70;81;81;1;7,59043141597366
23077;1;2;1;70;85;85;1;19,1029932137262
23129;1;1;1;70;81;81;1;30,3617256638947
23286;1;1;1;70;95;95;1;5,79877058691403
23464;1;2;1;70;94;94;1;2,40250398881571
23562;1;1;1;70;81;81;1;7,59043141597366
23562;1;2;1;70;81;81;1;7,59043141597366
23828;1;1;1;70;86;86;1;4,38241856314117
23828;1;2;1;70;86;86;1;4,38241856314117
23828;1;3;1;70;86;86;1;4,38241856314117
23828;1;4;1;70;86;86;1;4,38241856314117
23828;1;5;1;70;86;86;1;4,38241856314117
23981;1;2;1;70;95;95;1;5,79877058691403
23996;1;1;1;70;95;95;1;50,449304106152
24100;1;3;1;70;85;85;1;24,6480643114621
24195;1;1;1;70;95;95;1;5,79877058691403
24313;1;1;1;70;81;81;1;8,34441231276689
24385;1;1;1;70;91;91;1;5,90028384737588
24468;1;4;1;70;85;85;1;32,7996246194081
24610;1;4;1;70;86;86;1;8,74545338769407
24628;1;1;1;70;86;86;1;8,67917414217759
24628;1;3;1;70;86;86;1;8,67917414217759
24628;1;4;1;70;86;86;1;8,67917414217759
24742;1;1;1;70;81;81;1;28,0155158338332
25777;2;1;2;70;81;81;1;12,0469798872018
25799;1;1;1;70;95;95;1;5,79877058691403
26075;1;2;1;70;94;94;1;1,28800035112349
26075;1;6;1;70;94;94;1;1,28800035112349
26075;1;7;1;70;94;94;1;1,28800035112349
26447;1;3;1;70;99;99;1;1,89549502356952
26574;1;1;1;70;95;95;1;38,2093885677201
26828;1;6;1;70;86;86;1;9,62588143234322
26832;1;2;1;70;86;86;1;8,22740805452282
26832;1;4;1;70;86;86;1;8,22740805452282
26836;1;1;1;70;86;86;1;11,3370614393173
26918;1;1;1;70;99;99;1;6,45131738702709
26918;1;2;1;70;99;99;1;6,45131738702709
26918;1;5;1;70;99;99;1;6,45131738702709
26918;1;6;1;70;99;99;1;6,45131738702709
26983;1;2;1;70;94;94;1;1,28800035112349
27172;1;2;1;70;95;95;1;5,79877058691403
27499;1;4;1;70;85;85;1;27,642644810267
27564;1;2;1;70;94;94;1;3,065417556508
27631;1;2;1;70;95;95;1;5,79877058691403
27652;1;2;1;70;99;99;1;3,49525743962956
27726;1;1;1;70;95;95;1;5,79877058691403
27726;1;3;1;70;95;95;1;5,79877058691403
27769;1;2;1;70;95;95;1;5,79877058691403
27769;1;5;1;70;95;95;1;5,79877058691403
28023;1;5;1;70;85;85;1;14,3642844427824
28077;1;1;1;70;95;95;1;5,79877058691403
28077;1;3;1;70;95;95;1;5,79877058691403
28093;1;1;1;70;95;95;1;5,79877058691403
28110;1;2;1;70;95;95;1;5,79877058691403
28125;1;1;1;70;81;81;1;7,59043141597366
28134;1;1;1;70;95;95;1;23,8926144701684
28139;1;6;1;70;81;81;1;30,3617256638947
28166;1;2;1;70;81;81;1;29,3328236994619
28166;1;3;1;70;81;81;1;29,3328236994619
28652;1;2;1;70;91;91;1;6,89941811151671
28670;1;3;1;70;85;85;1;19,6979879593471
28683;1;2;1;70;85;85;1;20,9498885027527
28695;1;3;1;70;85;85;1;25,9429208394383
28697;1;7;1;70;91;91;1;5,36712505150149
28715;1;1;1;70;85;85;1;19,718624976735
28717;1;1;1;70;91;91;1;6,43929397825457
28874;1;2;1;70;85;85;1;19,5470831136001
28884;1;1;1;70;85;85;1;22,538742877439
29135;1;2;1;70;86;86;1;7,40489069390779
29245;1;2;1;70;81;81;1;21,0107020395407
29245;1;3;1;70;81;81;1;21,0107020395407
29245;1;7;1;70;81;81;1;21,0107020395407
29265;1;1;1;70;81;81;1;18,0411073329529
29335;1;1;1;70;95;95;1;50,449304106152
29335;1;2;1;70;95;95;1;50,449304106152
29493;1;1;1;70;95;95;1;5,79877058691403
29493;1;2;1;70;95;95;1;5,79877058691403
29624;1;3;1;70;95;95;1;50,449304106152
29703;1;3;1;70;85;85;1;21,9933722164165
29771;1;1;1;70;95;95;1;5,79877058691403
29771;1;2;1;70;95;95;1;5,79877058691403
29778;1;1;1;70;95;95;1;5,79877058691403
29778;1;2;1;70;95;95;1;5,79877058691403
29921;1;6;1;70;94;94;1;2,08319486895731
30072;1;5;1;70;81;81;1;12,5821122125667
30128;1;2;1;70;95;95;1;5,79877058691403
30406;1;1;1;70;95;95;1;5,79877058691403
30637;1;1;1;70;81;81;1;11,3816538216282
30637;1;2;1;70;81;81;1;11,3816538216282
30775;1;3;1;70;95;95;1;5,79877058691403
30775;1;7;1;70;95;95;1;5,79877058691403
30830;1;8;1;70;95;95;1;5,79877058691403
31268;1;1;1;70;95;95;1;5,79877058691403
31268;1;2;1;70;95;95;1;5,79877058691403
31279;1;2;1;70;85;85;1;23,7700064034567
31303;1;3;1;70;85;85;1;26,3234177373537
31303;1;4;1;70;85;85;1;26,3234177373537
31303;1;5;1;70;85;85;1;26,3234177373537
31347;1;1;1;70;85;85;1;22,7132054755399
31688;1;2;1;70;99;99;1;3,38629670170527
31688;1;6;1;70;99;99;1;3,38629670170527
31745;1;1;1;70;91;91;1;7,23738901861414
31840;1;1;1;70;86;86;1;7,87111561344236
31840;1;3;1;70;86;86;1;7,87111561344236
31840;1;4;1;70;86;86;1;7,87111561344236
31882;1;1;1;70;86;86;1;11,404478489737
31893;1;1;1;70;86;86;1;9,48100241176558
31907;1;1;1;70;86;86;1;6,59319298084266
31956;1;1;1;70;86;86;1;11,0350378013777
31971;1;3;1;70;86;86;1;10,2418376128548
32058;1;1;1;70;95;95;1;5,79877058691403
32123;1;1;1;70;81;81;1;23,7598544379361
32123;1;2;1;70;81;81;1;23,7598544379361
32138;1;1;1;70;91;91;1;5,53604558270549
32140;1;1;1;70;81;81;1;10,4974144176744
32153;1;1;1;70;91;91;1;4,10702220186972
32288;1;1;1;70;91;91;1;6,66000533296699
32288;1;2;1;70;91;91;1;6,66000533296699
32302;1;3;1;70;91;91;1;5,43552631344737
32358;1;1;1;70;97;97;1;1,78836845123713
32362;1;4;1;70;97;97;1;1,86288380337201
32362;1;6;1;70;97;97;1;1,86288380337201
32363;1;1;1;70;97;97;1;4,93837880352606
32365;1;3;1;70;97;97;1;5,72689794216247
32368;1;1;1;70;99;99;1;5,84373864355948
32370;1;1;1;70;97;97;1;6,81283219518905
32373;1;1;1;70;97;97;1;1,70320804879726
32374;1;2;1;70;97;97;1;1,70320804879726
32375;1;3;1;70;97;97;1;1,86288380337201
32375;1;4;1;70;97;97;1;1,86288380337201
32379;1;1;1;70;97;97;1;1,70320804879726
32391;1;2;1;70;99;99;1;3,01210294481906
32416;1;1;1;70;97;97;1;4,441697240739
32438;1;1;1;70;97;97;1;8,69223418006879
32442;1;8;1;70;97;97;1;6,16706938388655
32447;1;4;1;70;97;97;1;2,1730585450172
32449;1;3;1;70;97;97;1;2,1730585450172
32458;1;1;1;70;97;97;1;1,70320804879726
32458;1;2;1;70;97;97;1;1,70320804879726
32460;1;1;1;70;97;97;1;1,70320804879726
32460;1;3;1;70;97;97;1;1,70320804879726
32460;1;4;1;70;97;97;1;1,70320804879726
32460;1;5;1;70;97;97;1;1,70320804879726
32471;1;3;1;70;97;97;1;6,81283219518905
32472;1;3;1;70;97;97;1;2,75365279050449
32479;1;3;1;70;97;97;1;1,70320804879726
32480;1;1;1;70;97;97;1;4,60371948302197
32482;1;2;1;70;97;97;1;1,70320804879726
100121;1;1;1;70;95;95;1;5,79877058691403
100241;1;1;1;70;81;81;1;9,62325058580604
100249;1;1;1;70;86;86;1;8,4354646551093
100249;1;2;1;70;86;86;1;8,4354646551093
100455;1;2;1;70;95;95;1;13,305764101788
100573;1;2;1;70;85;85;1;17,1474973604161
100589;1;3;1;70;81;81;1;12,4834950868116
100590;1;2;1;70;85;85;1;12,4892712437571
101302;1;1;1;70;95;95;1;38,2093885677201
101311;1;1;1;70;95;95;1;50,449304106152
101311;1;2;1;70;95;95;1;50,449304106152
101311;1;5;1;70;95;95;1;50,449304106152
101332;1;3;1;70;85;85;1;14,6457616888718
101337;1;3;1;70;94;94;1;2,61555676855782
101337;1;6;1;70;94;94;1;2,61555676855782
101349;1;3;1;70;85;85;1;18,4755115064009
101364;1;1;1;70;95;95;1;5,79877058691403
101402;1;1;1;70;95;95;1;5,79877058691403
101434;1;1;1;70;95;95;1;5,79877058691403
101585;1;1;1;70;95;95;1;5,79877058691403
101585;1;4;1;70;95;95;1;5,79877058691403
101616;1;1;1;70;86;86;1;11,5499471450722
101664;1;1;1;70;86;86;1;13,041485778544
101664;1;2;1;70;86;86;1;13,041485778544
101694;1;1;1;70;99;99;1;4,45529987211618
101737;1;1;1;70;95;95;1;12,6288073336026
101911;1;1;1;70;81;81;1;7,59043141597366
101911;1;2;1;70;81;81;1;7,59043141597366
101963;1;5;1;70;85;85;1;22,7443115157942
101971;1;2;1;70;85;85;1;30,4502421103503
102048;1;1;1;70;81;81;1;7,59043141597366
102135;1;2;1;70;86;86;1;9,65955706999793
102159;1;1;1;70;95;95;1;50,449304106152
102159;1;2;1;70;95;95;1;50,449304106152
102159;1;3;1;70;95;95;1;50,449304106152
102304;1;2;1;70;81;81;1;7,59043141597366
102304;1;3;1;70;81;81;1;7,59043141597366
102322;1;1;1;70;95;95;1;5,79877058691403
102507;1;2;1;70;95;95;1;5,79877058691403
102519;1;3;1;70;81;81;1;30,3617256638947
102600;1;2;1;70;95;95;1;5,79877058691403
102660;1;2;1;70;81;81;1;12,5887410467172
102660;1;3;1;70;81;81;1;12,5887410467172
102693;1;1;1;70;99;99;1;1,89549502356952
102693;1;3;1;70;99;99;1;1,89549502356952
102693;1;4;1;70;99;99;1;1,89549502356952
102721;1;1;1;70;99;99;1;4,29155240787131
102871;1;6;1;70;97;97;1;6,35864338217645
103033;1;2;1;70;97;97;1;1,58966084554411
103045;1;2;1;70;95;95;1;5,79877058691403
103054;1;2;1;70;86;86;1;10,5936362893226
103105;1;2;1;70;99;99;1;3,49525743962956
103176;1;1;1;70;94;94;1;2,90441223410546
103190;1;1;1;70;95;95;1;5,79877058691403
103219;1;2;1;70;95;95;1;5,79877058691403
103219;1;5;1;70;95;95;1;5,79877058691403
103234;1;1;1;70;99;99;1;1,89549502356952
103234;1;3;1;70;99;99;1;1,89549502356952
103258;1;3;1;70;81;81;1;7,59043141597366
103309;1;1;1;70;95;95;1;12,6712833912786
103367;1;2;1;70;86;86;1;9,99648225901055
103367;1;3;1;70;86;86;1;9,99648225901055
103559;1;2;1;70;86;86;1;6,59990982432177
103571;1;1;1;70;81;81;1;25,3994325091973
103621;1;1;1;70;97;97;1;1,58966084554411
103673;1;1;1;70;86;86;1;9,32263188098531
103687;1;2;1;70;91;91;1;5,67023368551714
103849;1;1;1;70;97;97;1;2,38070186097298
103882;1;1;1;70;86;86;1;7,95513273077118
103896;1;1;1;70;91;91;1;7,24723403821131
103899;1;10;1;70;86;86;1;11,6127310568516
103907;1;1;1;70;91;91;1;5,26962441510042
103909;1;2;1;70;86;86;1;11,9841258072076
103909;1;5;1;70;86;86;1;11,9841258072076
103984;1;1;1;70;81;81;1;7,59043141597366
104130;1;3;1;70;97;97;1;1,58966084554411
104130;1;4;1;70;97;97;1;1,58966084554411
104131;1;1;1;70;86;86;1;5,49022716597948
104131;1;2;1;70;86;86;1;5,49022716597948
104178;1;3;1;70;86;86;1;9,1496914455415
104206;1;4;1;70;91;91;1;6,04517191851411
104303;1;2;1;70;97;97;1;1,58966084554411
