DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;P6430S1;P6500;P6750;P6760;P6800;P6850;P6830;P6830S1;AREA;OCI;FEX_C;P6430;RAMA4D_R4;OFICIO;RAMA2D_R4
4673;1;1;1;60;97; ; ;3000000;1;30;30; ; ;97;1;1,58966084554411;4;8530;18;85
4673;1;2;1;60;97; ; ;3500000;1;40;40; ; ;97;1;1,58966084554411;4;8530;13;85
4675;1;1;1;60;85; ; ;1100000;1;30;0;6; ;85;1;30,3465338969402;4;8553;13;85
4722;1;1;1;60;94; ;600000; ; ;45;45; ; ;94;1;4,08739279676759;1;0145;61;01
4724;1;1;1;60;91; ;98; ; ;48;48; ; ;91;1;5,96749550426411;2;8610;39;86
4725;1;1;1;60;85; ;877803; ; ;48;48; ; ;85;1;36,9151451415398;1;8544;58;85
4725;1;2;1;60;85; ; ;877803;1;24;0;7;AISLAMIENTO OBLIGATORIO;85;1;36,9151451415398;4;8121;55;81
4729;1;2;1;60;97; ; ;99;1;55;40;6; ;97;1;2,64045360761044;4;4711;11;47
4767;1;1;1;60;91; ; ;98;1;48;0;7;CESO ACTIVIDADES DEBIDO AL COVID-19;91;1;7,15574188356919;4;9522;84;95
4798;1;1;1;60;91; ;98; ; ;48;48; ; ;91;1;6,87113517669384;2;8412;32;84
4798;1;2;1;60;91; ; ;98;1;48;48; ; ;91;1;6,87113517669384;4;8412;21;84
4872;1;1;1;60;94; ; ;200000;1;40;10;5; ;94;1;2,02334816374407;4;4781;45;47
4872;1;2;1;60;94; ; ; ; ;40;5;5; ;94;1;2,02334816374407;6;4781;45;47
4890;1;1;1;60;94; ; ;2000000;1;40;10;5; ;94;1;2,0750953695052;4;8412;21;84
4890;1;3;1;60;94; ;2200000; ; ;45;60; ; ;94;1;2,0750953695052;1;8610;07;86
4906;1;1;1;60;91; ; ;1800000;1;48;0;7;CONFINAMIENTO PREVENTIVO;91;1;6,58042721764534;4;4759;41;47
4906;1;2;1;60;91;BUSCO TRABAJO; ;98;1;0;0; ; ;91;1;6,58042721764534;9;0000;00;00
