DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;DPTO;AREA;INI;FEX_C
9303;1;2;1;80;94;94;1;2,48522504732417
9303;1;3;1;80;94;94;1;2,48522504732417
9307;1;1;1;80;97;97;1;4,05831621773524
9307;1;2;1;80;97;97;1;4,05831621773524
9307;1;3;1;80;97;97;1;4,05831621773524
9320;1;3;1;80;95;95;1;6,65784771090129
9351;1;2;1;80;97;97;1;1,79700791235421
9351;1;3;1;80;97;97;1;1,79700791235421
9360;1;2;1;80;86;86;1;6,25035656446817
9388;1;1;1;80;97;97;1;9,39973369539127
9388;1;2;1;80;97;97;1;9,39973369539127
9408;1;3;1;80;97;97;1;1,58966084554411
9408;1;4;1;80;97;97;1;1,58966084554411
9410;1;1;1;80;94;94;1;3,79466477881851
9410;1;3;1;80;94;94;1;3,79466477881851
9410;1;5;1;80;94;94;1;3,79466477881851
9410;1;6;1;80;94;94;1;3,79466477881851
9410;1;7;1;80;94;94;1;3,79466477881851
9507;1;2;1;80;85;85;1;32,5911352460869
9534;1;1;1;80;91;91;1;6,24274988516427
9558;1;4;1;80;81;81;1;30,3617256638947
9558;1;5;1;80;81;81;1;30,3617256638947
9584;1;3;1;80;85;85;1;24,2776893052892
9751;1;3;1;80;99;99;1;5,48539410155238
9945;1;2;1;80;99;99;1;5,12549038123915
9945;1;3;1;80;99;99;1;5,12549038123915
9945;1;5;1;80;99;99;1;5,12549038123915
9962;1;2;1;80;91;91;1;5,49910830563419
9972;1;2;1;80;95;95;1;5,79877058691403
9972;1;3;1;80;95;95;1;5,79877058691403
9972;1;4;1;80;95;95;1;5,79877058691403
9984;1;3;1;80;95;95;1;6,20333597669872
9984;1;4;1;80;95;95;1;6,20333597669872
9993;1;1;1;80;99;99;1;1,89549502356952
10025;1;3;1;80;95;95;1;6,20333597669872
10080;1;1;1;80;94;94;1;1,2868176143456
10096;1;1;1;80;81;81;1;26,7170978248814
10096;1;2;1;80;81;81;1;26,7170978248814
10096;1;3;1;80;81;81;1;26,7170978248814
10096;1;4;1;80;81;81;1;26,7170978248814
10116;1;2;1;80;94;94;1;3,82865415450312
10116;1;3;1;80;94;94;1;3,82865415450312
10121;1;1;1;80;94;94;1;1,50171402535285
10121;1;2;1;80;94;94;1;1,50171402535285
10121;1;3;1;80;94;94;1;1,50171402535285
10147;1;1;1;80;94;94;1;2,57350433789418
10152;1;1;1;80;95;95;1;6,20333597669872
10152;1;3;1;80;95;95;1;6,20333597669872
10152;1;4;1;80;95;95;1;6,20333597669872
10158;1;1;1;80;94;94;1;2,57350433789418
10161;1;1;1;80;94;94;1;1,28019428838941
10161;1;2;1;80;94;94;1;1,28019428838941
10190;1;1;1;80;94;94;1;1,28019428838941
10209;1;1;1;80;94;94;1;1,44880379869321
10209;1;2;1;80;94;94;1;1,44880379869321
10209;1;4;1;80;94;94;1;1,44880379869321
10211;1;4;1;80;95;95;1;5,79877058691403
10227;1;1;1;80;85;85;1;17,168134377804
10227;1;2;1;80;85;85;1;17,168134377804
10239;1;1;1;80;81;81;1;9,3764152785557
10239;1;2;1;80;81;81;1;9,3764152785557
10252;1;1;1;80;94;94;1;3,75999801835387
10264;1;2;1;80;85;85;1;26,5930450391267
10264;1;3;1;80;85;85;1;26,5930450391267
10264;1;4;1;80;85;85;1;26,5930450391267
10274;1;4;1;80;95;95;1;5,79877058691403
10288;1;3;1;80;85;85;1;20,3342567397438
10288;1;4;1;80;85;85;1;20,3342567397438
