DIRECTORIO;AREA;ocupados;sexo;estudia;edad;educación
4903809;13;0;1;1;7;3
4903810;13;0;0;0;80;3
4903810;13;1;1;0;56;5
4903810;13;0;1;0;60;5
4903811;13;0;0;0;58;6
4903811;13;1;0;0;72;4
4903811;13;0;0;0;30;6
4903812;13;1;1;0;45;3
4903812;13;0;0;0;43;3
4903813;13;1;1;0;22;6
4903813;13;1;0;0;67;6
4903813;13;1;0;0;40;5
4903814;13;1;1;0;39;5
4903814;13;1;0;1;16;6
4903814;13;0;0;1;14;4
4903815;13;1;0;1;8;3
4903816;13;1;0;0;45;6
4903817;13;1;1;1;16;5
4903818;13;1;0;0;67;1
4903818;13;1;1;0;34;5
4903818;13;1;1;0;70;5
4903819;13;1;1;0;55;6
4903819;13;0;0;0;61;6
4903819;13;0;1;0;49;6
4903820;13;1;0;0;51;6
4903820;13;0;0;1;23;6
4903820;13;0;0;0;53;6
4903820;13;0;0;0;25;6
4903820;13;0;1;0;24;6
4903821;13;1;1;1;3;2
4903821;13;1;0;0;80;3
4903821;13;1;0;0;70;3
4903821;13;0;1;1;18;6
4903822;13;1;0;1;10;3
4903822;13;0;1;1;8;3
4903823;13;1;0;0;51;6
4903823;13;0;0;1;24;6
4903823;13;0;1;0;44;6
4903824;13;1;0;0;34;6
4903824;13;1;0;0;59;4
4903825;13;1;1;0;67;4
4903825;13;1;1;0;30;6
4903826;13;0;1;0;32;5
4903826;13;1;0;0;57;3
4903827;13;1;1;0;54;3
4903827;13;0;0;0;17;4
4903827;13;1;1;0;20;4
4903827;13;1;0;;0;
4903828;13;0;0;0;28;6
4903828;13;0;1;0;27;5
4903829;13;1;1;0;19;5
4903829;13;1;0;0;26;4
4903830;13;1;1;0;54;4
4903830;13;1;1;1;12;4
4903830;13;1;0;1;10;3
4903831;13;1;1;1;9;3
4903831;13;0;0;1;7;3
4903831;13;0;0;1;6;2
4903832;13;1;0;1;4;2
4903832;13;1;0;0;3;1
4903832;13;0;0;0;3;1
4903832;13;0;0;0;38;5
4903833;13;1;1;0;25;5
4903833;13;0;1;1;13;4
4903834;13;1;1;1;5;2
4903834;13;0;0;0;54;3
4903834;13;0;1;0;54;3
4903834;13;0;1;0;27;6
4903835;13;0;0;0;32;6
4903835;13;0;1;0;39;4
4903835;13;0;1;1;10;3
4903836;13;0;0;;2;
4903836;13;1;1;0;65;6
4903836;13;0;0;0;26;4
4903837;13;0;0;1;10;4
4903838;13;1;0;;2;
4903838;13;0;0;0;34;5
4903838;13;1;0;1;18;6
4903838;13;1;0;1;15;4
4903838;13;0;1;1;11;4
4903838;13;1;0;0;48;3
4903839;13;0;1;0;58;3
4903839;13;1;0;1;13;4
4903840;13;0;1;1;7;3
4903840;13;0;1;0;53;4
4903840;13;1;0;0;50;5
4903841;13;1;0;1;20;6
4903841;13;1;1;0;31;5
4903841;13;0;0;0;28;5
4903842;13;0;1;;2;
4903842;13;0;0;0;37;5
4903842;13;0;1;0;42;3
4903843;13;1;1;0;20;5
4903843;13;1;1;1;5;2
4903844;13;1;0;0;36;6
4903844;13;0;1;0;36;3
